Starting a file (upload.txt) upload...
Received ack(1082) from the server.
Received ack(1083) from the server.
Received ack(1084) from the server.
Received ack(1085) from the server.
Received ack(1086) from the server.
Received ack(1087) from the server.
Received ack(1088) from the server.
Received ack(1089) from the server.
Received ack(1090) from the server.
Received ack(1091) from the server.
Received ack(1092) from the server.
Received ack(1093) from the server.
Received ack(1094) from the server.
Received ack(1095) from the server.
Received ack(1096) from the server.
Received ack(1097) from the server.
Received ack(1098) from the server.
Received ack(1099) from the server.
Received ack(1100) from the server.
Received ack(1101) from the server.
Received ack(1102) from the server.
Received ack(1103) from the server.
Received ack(1104) from the server.
Received ack(1105) from the server.
Received ack(1106) from the server.
Received ack(1107) from the server.
Received ack(1108) from the server.
Received ack(1109) from the server.
Received ack(1110) from the server.
Received ack(1111) from the server.
Received ack(1112) from the server.
Received ack(1113) from the server.
Received ack(1114) from the server.
Received ack(1115) from the server.
Received ack(1116) from the server.
Received ack(1117) from the server.
Received ack(1118) from the server.
Received ack(1119) from the server.
Received ack(1120) from the server.
Received ack(1121) from the server.
Received ack(1122) from the server.
Received ack(1123) from the server.
Received ack(1124) from the server.
Received ack(1125) from the server.
Received ack(1126) from the server.
Received ack(1127) from the server.
Received ack(1128) from the server.
Received ack(1129) from the server.
Received ack(1130) from the server.
Received ack(1131) from the server.
Received ack(1132) from the server.
Received ack(1133) from the server.
Received ack(1134) from the server.
Received ack(1135) from the server.
Received ack(1136) from the server.
Received ack(1137) from the server.
Received ack(1138) from the server.
Received ack(1139) from the server.
Received ack(1140) from the server.
Received ack(1141) from the server.
Received ack(1142) from the server.
Received ack(1143) from the server.
Received ack(1144) from the server.
Received ack(1145) from the server.
Received ack(1146) from the server.
